Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au;Qt.A;Affidabilita;Gf_per_90;Ass_per_90;Gs_per_90;Disciplina;Au_per_90;Indice_Rigorista
572;P;Por;Meret;Napoli;34;6,32;5,71;0;25;2;0;0;0;0;0;0;1;19;0.8947368421052632;0.0;0.0;0.7352941176470589;-0.0;0.029411764705882353;6.0
5841;P;Por;Svilar;Roma;38;6,32;5,38;0;35;0;0;0;0;0;1;0;0;16;1.0;0.0;0.0;0.9210526315789473;-0.013157894736842105;0.0;0.0
2170;P;Por;Milinkovic-Savic V.;Torino;37;6,3;5,45;0;42;4;0;0;0;0;3;0;0;16;0.9736842105263158;0.0;0.0;1.135135135135135;-0.04054054054054054;0.0;12.0
2521;P;Por;De Gea;Fiorentina;35;6,34;5,41;0;38;2;0;0;0;0;1;0;0;16;0.9210526315789473;0.0;0.0;1.0857142857142856;-0.014285714285714285;0.0;6.0
4431;P;Por;Carnesecchi;Atalanta;34;6,34;5,32;0;34;0;0;0;0;0;1;0;0;15;0.8947368421052632;0.0;0.0;1.0;-0.014705882352941176;0.0;0.0
2428;P;Por;Sommer;Inter;33;6,18;5,3;0;32;1;0;0;0;0;0;0;0;15;0.868421052631579;0.0;0.0;0.9696969696969697;-0.0;0.0;3.0
5876;P;Por;Di Gregorio;Juventus;33;6,15;5,18;0;32;0;0;0;0;0;0;0;0;14;0.868421052631579;0.0;0.0;0.9696969696969697;-0.0;0.0;0.0
4312;P;Por;Maignan;Milan;37;6,18;5,14;0;41;1;0;0;0;0;1;0;0;14;0.9736842105263158;0.0;0.0;1.1081081081081081;-0.013513513513513514;0.0;3.0
4360;P;Por;Caprile;Cagliari;22;6,2;5,16;0;23;0;0;0;0;0;0;0;0;14;0.5789473684210527;0.0;0.0;1.0454545454545454;-0.0;0.0;0.0
133;P;Por;Skorupski;Bologna;27;6,17;5,04;0;33;1;0;0;0;0;1;0;0;13;0.7105263157894737;0.0;0.0;1.2222222222222223;-0.018518518518518517;0.0;3.0
188;P;Por;Leali;Genoa;29;6,16;5,1;0;31;1;0;0;0;0;1;0;1;13;0.7631578947368421;0.0;0.0;1.0689655172413792;-0.017241379310344827;0.034482758620689655;3.0
6482;P;Por;Mandas;Lazio;9;6,28;5,5;0;7;0;0;0;0;0;0;0;0;12;0.23684210526315788;0.0;0.0;0.7777777777777778;-0.0;0.0;0.0
2134;P;Por;Falcone;Lecce;38;6,26;4,79;0;58;1;0;0;0;0;2;0;0;11;1.0;0.0;0.0;1.5263157894736843;-0.02631578947368421;0.0;3.0
6641;P;Por;Suzuki;Parma;37;6,22;4,76;0;53;0;0;0;0;0;0;1;0;11;0.9736842105263158;0.0;0.0;1.4324324324324325;-0.08108108108108109;0.0;0.0
6125;P;Por;Vasquez D.;Empoli;32;6,02;4,67;0;45;1;0;0;0;0;2;0;0;10;0.8421052631578947;0.0;0.0;1.40625;-0.03125;0.0;3.0
4867;P;Por;Turati;Monza;30;6,3;4,75;0;52;2;0;0;0;0;1;0;0;10;0.7894736842105263;0.0;0.0;1.7333333333333334;-0.016666666666666666;0.0;6.0
6966;P;Por;Butez;Como;18;6,22;5,22;0;18;0;0;0;0;0;0;0;0;10;0.47368421052631576;0.0;0.0;1.0;-0.0;0.0;0.0
5116;P;Por;Martinez Jo.;Inter;5;6,3;5,7;0;3;0;0;0;0;0;0;0;0;8;0.13157894736842105;0.0;0.0;0.6;-0.0;0.0;0.0
6462;P;Por;Okoye;Udinese;25;6,1;4,4;0;40;0;0;0;0;0;1;0;1;8;0.6578947368421053;0.0;0.0;1.6;-0.02;0.04;0.0
