Statistiche Fantacalcio Stagione 2024 25;;;;;;;;;;;;;;;;;
Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
572;P;Por;Meret;Napoli;34;6,32;5,71;0;25;2;0;0;0;0;0;0;1
5841;P;Por;Svilar;Roma;38;6,32;5,38;0;35;0;0;0;0;0;1;0;0
2170;P;Por;Milinkovic-Savic V.;Torino;37;6,3;5,45;0;42;4;0;0;0;0;3;0;0
2521;P;Por;De Gea;Fiorentina;35;6,34;5,41;0;38;2;0;0;0;0;1;0;0
4431;P;Por;Carnesecchi;Atalanta;34;6,34;5,32;0;34;0;0;0;0;0;1;0;0
2428;P;Por;Sommer;Inter;33;6,18;5,3;0;32;1;0;0;0;0;0;0;0
5876;P;Por;Di Gregorio;Juventus;33;6,15;5,18;0;32;0;0;0;0;0;0;0;0
4312;P;Por;Maignan;Milan;37;6,18;5,14;0;41;1;0;0;0;0;1;0;0
4360;P;Por;Caprile;Cagliari;22;6,2;5,16;0;23;0;0;0;0;0;0;0;0
133;P;Por;Skorupski;Bologna;27;6,17;5,04;0;33;1;0;0;0;0;1;0;0
188;P;Por;Leali;Genoa;29;6,16;5,1;0;31;1;0;0;0;0;1;0;1
6482;P;Por;Mandas;Lazio;9;6,28;5,5;0;7;0;0;0;0;0;0;0;0
2134;P;Por;Falcone;Lecce;38;6,26;4,79;0;58;1;0;0;0;0;2;0;0
6641;P;Por;Suzuki;Parma;37;6,22;4,76;0;53;0;0;0;0;0;0;1;0
6125;P;Por;Vasquez D.;Empoli;32;6,02;4,67;0;45;1;0;0;0;0;2;0;0
4867;P;Por;Turati;Monza;30;6,3;4,75;0;52;2;0;0;0;0;1;0;0
6966;P;Por;Butez;Como;18;6,22;5,22;0;18;0;0;0;0;0;0;0;0
5116;P;Por;Martinez Jo.;Inter;5;6,3;5,7;0;3;0;0;0;0;0;0;0;0
6462;P;Por;Okoye;Udinese;25;6,1;4,4;0;40;0;0;0;0;0;1;0;1
4957;P;Por;Montipo';Verona;36;6,19;4,44;0;64;1;0;0;0;0;0;0;1
6248;P;Por;Stankovic F.;Venezia;15;6,6;5,23;0;23;1;0;0;0;0;1;0;0
1843;P;Por;Radu I.;Venezia;15;6,47;5,23;0;18;0;0;0;0;0;1;0;0
2814;P;Por;Provedel;Lazio;29;5,98;4,53;0;42;0;0;0;0;0;0;0;0
2722;P;Por;Ravaglia F.;Bologna;12;6;4,83;0;14;0;0;0;0;0;0;0;0
2792;P;Por;Musso;Atalanta;1;6;6;0;0;0;0;0;0;0;0;0;0
6842;P;Por;Sava;Udinese;12;6,04;4,67;0;16;0;0;0;0;0;1;0;0
387;P;Por;Reina;Como;12;5,75;4,5;0;14;0;0;0;0;0;0;1;0
219;P;Por;Sommariva;Genoa;1;7;6;0;1;0;0;0;0;0;0;0;0
761;P;Por;Audero;Como;8;6;3,75;0;18;0;0;0;0;0;0;0;0
2815;P;Por;Terracciano;Fiorentina;3;6,17;5,17;0;3;0;0;0;0;0;0;0;0
218;P;Por;Perin;Juventus;5;6,1;5,5;0;3;0;0;0;0;0;0;0;0
4;P;Por;Sportiello;Milan;2;6;5;0;2;0;0;0;0;0;0;0;0
4425;P;Por;Joronen;Venezia;8;5,5;3,38;0;15;0;0;0;0;0;0;0;1
511;P;Por;Perilli;Verona;2;6;5;0;2;0;0;0;0;0;0;0;0
6682;P;Por;Pizzignacco;Monza;9;6,06;3,94;0;17;0;0;0;0;0;0;0;1
6991;P;Por;Siegrist;Genoa;2;6,5;5,5;0;2;0;0;0;0;0;0;0;0
2297;P;Por;Rossi F.;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
5822;P;Por;Bagnolini;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
3;P;Por;Radunovic;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
574;P;Por;Scuffet;Napoli;14;5,89;4,18;0;24;0;0;0;0;0;0;0;0
6650;P;Por;Sherri;Cagliari;7;5,86;4,29;0;11;0;0;0;0;0;0;0;0
2809;P;Por;Vigorito;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
6651;P;Por;Chiorra;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
673;P;Por;Perisan;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
6403;P;Por;Christensen O.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
6184;P;Por;Martinelli T.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
610;P;Por;Gollini;Roma;7;5,86;4,07;0;15;1;0;0;0;0;1;0;0
1926;P;Por;Di Gennaro;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
1930;P;Por;Pinsoglio;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
6417;P;Por;Furlanetto;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
2401;P;Por;Fruchtl;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
6523;P;Por;Samooja;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
6505;P;Por;Nava;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
2178;P;Por;Cragno;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
5853;P;Por;Sorrentino A.;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
